,country_name,country_code,region,income_level,gdp,edu_exp,literacy_rate,pupil_teacher_ratio,primary_enrollment,secondary_enrollment
0,Aruba,ABW,Latin America & Caribbean ,High income,27458.225,,,,,
1,Afghanistan,AFG,South Asia,Low income,565.5697,3.2558,33.75384,43.38836,106.18242,53.28514
2,Angola,AGO,Sub-Saharan Africa ,Lower middle income,3213.9026,3.1,66.23586,50.02951,119.14226,
3,Albania,ALB,Europe & Central Asia,Upper middle income,3952.8035,3.43797,,18.61557,105.68865,102.44073
4,Andorra,AND,Europe & Central Asia,High income,38654.934,3.28035,,9.93795,88.95535,92.5458
5,United Arab Emirates,ARE,Middle East & North Africa,High income,43534.996,,,23.61794,91.78271,
6,Argentina,ARG,Latin America & Caribbean ,Upper middle income,13679.627,5.77611,,,113.7782,107.54907
7,Armenia,ARM,Europe & Central Asia,Upper middle income,3512.3936,2.80591,,,102.38269,85.7937
8,American Samoa,ASM,East Asia & Pacific,High income,12727.41,,,,,
9,Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,16080.658,2.1441958,,14.33428,109.83106,117.02777
10,Australia,AUS,East Asia & Pacific,High income,56739.027,5.462858,,,101.66549,159.11076
11,Austria,AUT,Europe & Central Asia,High income,43915.227,5.45658,,10.58415,101.10439,101.41158
12,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,5500.5034,2.95168,100.0,13.49787,106.60149,84.80986
13,Burundi,BDI,Sub-Saharan Africa ,Low income,280.96683,7.1029096,,43.22109,120.03626,45.28648
14,Belgium,BEL,Europe & Central Asia,High income,40893.805,6.45157,,11.23127,102.24383,164.07982
